Date,AVGO,AXON,BKNG,BSX,COST,DECK,FI,FICO,GDDY,GE,HWM,KKR,LII,META,NFLX,NRG,NVDA,PLTR,RCL,TDG,TRGP,VST,WMT
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,54.04928588867188,168.75999450683594,2087.61572265625,46.49999999999999,439.9947814941406,64.98999786376953,102.05999755859376,609.0399780273438,74.86000061035156,55.38780593872071,39.25177764892578,47.21049880981445,237.19111633300778,126.7725143432617,309.4100036621094,29.952491760253906,14.736923217773436,6.579999923706055,52.21345901489258,578.7954711914062,67.59381866455078,21.902610778808597,46.64102172851563
2023-01-05,53.54568099975586,165.74000549316406,2121.7426757812505,45.7599983215332,433.85592651367193,65.84666442871094,99.40000152587892,596.9000244140625,73.72000122070312,56.24781799316406,39.02350616455078,46.5234489440918,229.79081726074216,126.34453582763669,309.7000122070312,29.635141372680668,14.253321647644043,6.320000171661377,52.947467803955085,581.44482421875,67.49866485595703,21.48862838745117,46.48205184936524
2023-01-06,56.7689208984375,170.89999389648435,2155.6818847656255,46.33000183105469,465.35018920898443,66.26166534423828,102.1800003051758,601.9400024414061,74.51999664306639,56.76066589355469,40.1549186706543,47.28902816772462,238.0721282958984,129.4100799560547,315.5499877929687,30.055164337158207,14.846835136413574,6.4000000953674325,54.54442214965821,592.9282836914064,69.56368255615236,21.671554565429688,47.62082290649414
2023-01-09,55.65560150146486,177.44999694824216,2184.526123046875,45.59000015258789,461.37963867187506,67.6416702270508,102.06999969482423,593.8699951171874,74.30000305175781,57.33664321899415,39.77778244018555,48.72201919555664,240.00047302246088,128.8626556396484,315.1700134277344,30.46586036682129,15.615203857421875,6.5,56.825786590576186,594.5635375976562,71.29563140869142,21.69080924987793,47.027099609375
2023-01-10,55.46651458740234,179.33000183105463,2196.9306640625005,46.060001373291016,463.93353271484386,67.66666412353517,101.04000091552734,585.8599853515624,73.04000091552733,59.38803863525391,40.24423980712891,49.20295715332031,243.11331176757804,132.36616516113278,327.5400085449218,30.67120361328125,15.89597511291504,6.699999809265138,58.452491760253935,601.8536987304688,70.79128265380861,21.565649032592773,46.99789810180664
2023-01-11,55.776195526123054,181.4299926757812,2200.7490234375005,45.810001373291016,466.7378845214845,68.41000366210938,101.52999877929688,598.9699707031249,74.87999725341795,61.29742431640626,40.08544921875,51.26412200927734,248.86909484863278,132.2666320800781,327.260009765625,30.139169692993164,15.98789882659912,6.980000019073486,58.72030639648439,615.5845947265625,71.03870391845705,21.892984390258782,47.40993118286133
2023-01-12,56.142807006835945,184.08000183105463,2232.3632812500005,46.709999084472656,464.9261474609376,69.45333099365236,102.41999816894531,605.5800170898436,75.55999755859374,62.220546722412124,40.36332702636719,52.677490234374986,247.27351379394526,136.06869506835935,330.13000488281244,30.447189331054688,16.497482299804688,7.010000228881836,61.9340515136719,621.4039916992188,71.76194000244142,21.84484481811523,46.98167419433594
2023-01-13,55.859165191650405,188.13000488281244,2276.4511718750005,46.52999877929688,467.64379882812506,70.15333557128906,102.55999755859375,617.9199829101561,75.91999816894528,63.27780914306642,40.44272994995118,53.00138854980469,247.73361206054682,136.3374328613281,332.82000732421875,29.75647735595703,16.885164260864258,6.960000038146973,62.96562194824221,624.7658691406249,71.75241851806643,21.546396255493157,47.13740539550781
2023-01-17,55.88231658935547,184.47000122070304,2308.7778320312505,46.04000091552734,469.1086730957032,70.0,104.01000213623048,627.8800048828125,75.83000183105467,63.50661849975586,40.30377960205079,52.54007720947265,247.3811950683593,134.72506713867185,326.2200012207031,30.008497238159183,17.687509536743164,7.070000171661377,63.64011383056643,621.5409545898436,71.50498962402345,21.324962615966793,46.851902008056655
2023-01-18,55.4047737121582,182.27000427246085,2297.1717349197897,45.09000015258788,462.07351684570307,70.0566635131836,103.23000335693358,629.969970703125,78.15000152587888,62.544044494628906,39.23192596435547,52.029697418212876,236.8876495361328,132.39601135253903,326.3299865722657,29.523132324218754,17.362773895263672,6.900000095367433,61.71583557128909,614.0132446289061,69.86820220947267,20.699172973632805,45.69366455078126
2023-01-19,54.33678817749024,184.05999755859364,2316.1275048167795,45.45999908447265,452.4556579589844,69.48999786376955,102.18000030517577,623.8599853515624,77.94999694824216,60.642539978027344,38.140216827392585,49.566116333007805,228.21484374999997,135.51132202148435,315.77999877929693,28.96310043334961,16.75127410888672,6.730000019073488,60.28750228881838,603.1693115234375,71.24806976318361,20.593269348144524,45.041549682617195
2023-01-20,55.06613159179689,185.0200042724608,2345.027159684152,45.61999893188476,462.69021606445307,69.66666412353516,104.05000305175778,649.1799926757811,80.0400009155273,61.28952789306641,38.408187866210945,52.196563720703125,234.59709167480463,138.71623229980466,334.03609358331465,30.06449508666992,17.824399948120117,7.0199999809265154,62.4795951843262,614.506591796875,71.99984741210939,21.036136627197262,45.5963363647461
2023-01-23,56.112899780273445,188.9499969482421,2402.334916548127,45.84999847412107,474.7367553710937,70.37999725341797,105.5500030517578,649.9500122070311,81.8399963378906,62.93853759765625,39.132682800292976,52.893421173095696,239.51106262207023,142.59793090820307,348.5874016172153,30.26050567626954,19.17728614807129,7.380000114440921,62.8664360046387,625.7890625,71.94273376464845,21.66192436218261,46.27764892578126
2023-01-24,56.44090652465822,188.9600067138671,2403.0950829414483,45.84000015258788,474.25491333007807,70.4566650390625,103.70999908447264,640.2199707031249,80.95999908447263,63.67230987548828,39.1128273010254,52.38304138183594,244.22924804687494,142.46855163574213,354.838970636699,30.708538055419925,19.249227523803707,7.0199999809265154,63.461570739746115,634.2395019531249,71.45740509033203,21.97963333129882,46.400936126708984
2023-01-25,56.50362014770508,192.17999267578116,2391.501496171723,46.11999893188476,473.0695495605468,70.09166717529297,104.4000015258789,642.8300170898435,81.36000061035153,63.7433204650879,39.311325073242195,52.57934188842772,242.4966278076171,140.8362426757812,358.8669142791361,30.941884994506847,19.307178497314453,7.219999790191653,63.36238479614261,639.9492797851562,71.66677856445314,21.729318618774403,46.18032073974611
2023-01-26,57.748153686523445,192.3300018310546,2431.9142525070274,46.34999847412107,480.2202758789062,70.16999816894531,106.26000213623048,646.0499877929686,82.2900009155273,64.0194625854492,40.512207031250014,54.29698181152343,242.99584960937497,146.6090240478515,355.8532783495135,31.25924110412598,19.78578758239746,7.239999771118168,63.41197967529299,648.7559814453125,72.37097930908206,21.95075035095214,46.13813781738282
2023-01-27,57.01589965820313,191.61000061035148,2465.2845449353827,45.909999847412095,485.02929687499983,71.08499908447266,106.48999786376952,660.25,82.19999694824216,65.66847991943358,40.095367431640646,54.473655700683594,243.87683105468747,151.0282135009765,351.8545921524738,31.501920700073246,20.348327636718754,7.550000190734868,63.292953491210966,649.2584228515624,71.70484161376953,21.825592041015618,46.49177932739259
2023-01-30,56.09553146362306,191.4600067138671,2437.7457335756385,45.810001373291,485.0196228027342,70.05833435058595,105.74999999999999,644.280029296875,81.33000183105466,63.77487945556639,39.88694763183595,53.4234390258789,239.99069213867185,146.37014770507807,344.38388353897045,31.31524085998536,19.146312713623047,7.369999885559086,62.49943161010744,646.1157836914062,70.59580230712892,21.536767959594716,46.11867523193362
2023-01-31,56.438980102539084,195.44000244140614,2434.8650510562243,46.24999999999999,492.5944213867187,71.24666595458984,106.68000030517575,665.9500122070311,82.12999725341794,63.498729705810526,40.38317871093751,54.7779197692871,255.1143188476562,148.27119445800778,345.11534943732806,32.30458068847657,19.5210018157959,7.780000209808352,64.41379547119143,655.7081298828125,71.72395324707031,22.20106887817382,46.67670822143557
2023-02-01,58.15045166015626,198.38999938964832,2446.5087559739986,47.54000091552733,499.11880493164057,71.39833068847658,108.16000366210936,682.6799926757814,82.99999999999996,64.95048522949217,40.283935546875014,55.936100006103516,262.49502563476557,152.40170288085932,353.04444453767246,32.663303375244155,20.92585182189941,8.19999980926514,66.72491455078128,665.2091674804689,71.30329132080078,22.33585357666015,46.93626022338869
2023-02-02,58.44180297851564,198.5399932861327,2455.46138791769,48.06999969482421,505.316680908203,70.22166442871095,107.59999847412108,690.3200073242188,84.08000183105466,66.22866821289061,39.92665100097657,56.9372329711914,272.89062499999994,169.90784008047544,357.8233788843478,32.99371719360354,21.69122505187988,8.989999771118166,68.77813720703128,650.3090209960938,71.48494720458984,22.412872314453118,46.59559631347658
