Date,AVGO,AXON,BKNG,BSX,COST,DECK,FI,FICO,GDDY,GE,HWM,KKR,LII,META,NFLX,NRG,NVDA,PLTR,RCL,TDG,TRGP,VST,WMT
2023-03-06,0.0,0.061905087412264914,0.18719804017697841,0.0,0.0,0.0,0.06849638788419321,0.025555801058709846,1.9139776708595886e-15,0.2553635360973721,0.0,0.0,6.5451464489489794e-15,0.014138352167526697,2.5675557178525246e-14,0.006641546327961293,3.828001421829592e-15,2.5122175493976417e-14,0.056843883619948944,0.29999999999997307,0.023857365255015188,1.1288948619872312e-14,0.0
2023-04-03,0.002988812717556645,0.06213818352477384,0.019260096009073153,1.6239715171195854e-13,9.093847160210491e-14,0.06281487705492826,0.08843302872350009,4.689249005015893e-15,3.4830053148179315e-15,0.1609812350742069,1.1406143882450086e-13,6.617791790354452e-14,3.705266451426099e-14,6.270980088798334e-14,3.399220238065211e-14,9.987532814396443e-15,0.2999999999999688,5.584132598723418e-14,6.403657082631809e-14,0.003383766896213799,1.4684367523733431e-15,1.9107650064937295e-14,0.299999999999889
2023-05-02,6.784651812012515e-12,1.8101864797064299e-12,0.0,0.29999999998853083,0.0,0.11016543861403995,0.0,0.0,0.0,0.15324093692255705,0.0,8.950753580651794e-12,0.0,0.06227304823507824,6.697894873570676e-13,0.0,0.0743205762517555,5.790986755179589e-12,6.982736679274534e-12,0.0,2.420084724209767e-12,1.7278464472902554e-12,0.29999999997209764
2023-05-31,0.2774779513247697,5.777319212504993e-15,3.2032054700219293e-14,0.271345296285767,0.0,3.7902751472502516e-15,0.0,0.13060100226814014,1.1967678566167245e-14,0.0,0.0,1.650462668297882e-14,0.006779908639282366,0.09334715393988949,0.0,0.0,0.0,0.05578725675410514,0.16466143078802462,0.0,2.247767625574618e-14,0.0,0.0
2023-06-29,0.09814686627299925,9.983292911051294e-15,7.311496316874585e-14,0.09261072687514385,0.0,1.1474884246993313e-14,0.0,0.0,5.390146561484229e-14,0.0,0.0,1.7099717177691858e-14,0.08851392365637883,0.061096034832305066,0.10303987061456935,0.08500587050568577,0.0022851084779139186,0.05310782850737599,0.2349568927986697,0.046533587599605734,3.287468925124145e-15,0.13470328985924265,0.0
2023-07-28,0.0,0.0,0.024609353452116674,0.0,0.15588237048675355,0.04673683898992185,0.05742292634975223,0.0023570279773507796,0.0,4.0000685841904856e-14,0.06476483073703675,0.0,0.12164427996930471,0.031534895612699315,7.312652721580004e-14,0.04449576010637846,0.061462665045150806,2.6747288081998015e-13,0.07805066383439319,0.05876261351420043,0.06047317962944309,0.11047598800938363,0.08132660628734119
2023-08-25,0.0,0.0,0.11439635339347838,0.0,2.1481051894918174e-14,8.405388815784421e-15,4.674103557239867e-15,0.19737237238364694,1.0965410407542178e-14,4.005942330867908e-15,9.115946484380407e-15,2.0032993193378802e-14,0.13892095680915603,1.0738543088219802e-14,0.0,2.4137661935074315e-14,0.0118140275765907,0.0,0.0,0.0,0.3,0.19254748289378096,0.04494880694347589
2023-09-25,0.0,0.0,1.6514091880332197e-13,0.0449579534720435,1.8990875187502458e-13,0.0,5.917100041120662e-14,0.15225893399909649,0.0,6.635206213326671e-14,0.0,0.04607103618339397,0.03328385461546206,0.0,0.0,0.05491789178308682,0.0,0.0,0.0,1.0897322507114193e-14,0.1977761652488767,0.3,0.17073416470013938
2023-10-23,1.4119450068202735e-14,5.278107781554416e-15,6.618403972387604e-15,2.2632339422092626e-14,0.07309659153003317,1.6089067130188704e-15,1.819901680706299e-15,0.19898153181373562,0.0299661503678589,1.5688825302408762e-15,6.203413076269272e-15,1.1585575174956701e-14,7.709324154540811e-15,0.1985809053575381,7.136670604409147e-15,0.27975260873399677,6.762429854508248e-15,0.011511738736693781,2.5449866276167783e-14,1.1671001186148655e-15,2.583670501845208e-14,0.17526247554923274,0.03284799805462933
2023-11-20,0.0810709769969732,0.05957570914965617,0.0,0.0,0.0,0.06641607854886668,3.551981842334073e-16,0.13725511232728782,0.09570343740454351,1.3307806733966416e-16,0.07327453212088918,0.0,0.0,5.657773511844044e-16,0.08192639525541157,0.29109287515173393,0.094823859397676,0.01886102364696939,5.565311395321765e-16,1.0261228173581716e-15,8.134692671486026e-16,0.0,2.0101447091060154e-16
